Member_number,Recency,Frequency,Monetary,Cluster
KH1199,20.0,13.0,57.5,Potential Loyalists
KH1200,95.0,8.0,26.05,Potential Loyalists
KH1201,401.0,4.0,34.8,Churned Customers
KH1202,161.0,10.0,61.6,Big Spenders
KH1204,160.0,16.0,142.1,Big Spenders
KH1205,291.0,10.0,69.1,Churned Customers
KH1206,229.0,14.0,96.6,Big Spenders
KH1207,46.0,8.0,62.06,Potential Loyalists
KH1208,14.0,11.0,171.46,Loyal Customers
KH1209,414.0,9.0,121.29,Churned Customers
KH1211,220.0,16.0,107.75,Big Spenders
KH1212,152.0,8.0,68.4,Big Spenders
KH1213,107.0,13.0,123.7,Loyal Customers
KH1214,354.0,6.0,58.9,Churned Customers
KH1215,346.0,9.0,76.71,Churned Customers
KH1216,127.0,14.0,183.2,Loyal Customers
KH1217,315.0,8.0,68.6,Churned Customers
KH1218,1.0,21.0,198.7,Loyal Customers
KH1219,454.0,4.0,32.6,Churned Customers
KH1220,1.0,17.0,186.05,Loyal Customers
KH1221,410.0,2.0,1.7,Churned Customers
KH1222,97.0,4.0,16.8,Potential Loyalists
KH1223,30.0,10.0,61.6,Potential Loyalists
KH1224,466.0,4.0,83.3,One-time Shoppers
KH1225,224.0,21.0,130.6,Big Spenders
KH1226,48.0,10.0,84.55,Potential Loyalists
KH1227,601.0,2.0,7.7,One-time Shoppers
KH1228,310.0,3.0,16.6,Churned Customers
KH1229,285.0,8.0,146.4,Churned Customers
KH1230,41.0,14.0,67.65,Potential Loyalists
KH1231,64.0,16.0,156.0,Loyal Customers
KH1232,182.0,7.0,33.0,Big Spenders
KH1233,139.0,19.0,98.36,Big Spenders
KH1234,40.0,10.0,74.44,Potential Loyalists
KH1235,215.0,19.0,156.98,Big Spenders
KH1236,233.0,5.0,40.6,Big Spenders
KH1237,265.0,20.0,160.8,Big Spenders
KH1238,304.0,2.0,27.0,Churned Customers
KH1239,121.0,16.0,139.0,Loyal Customers
KH1240,260.0,13.0,61.14,Big Spenders
KH1241,222.0,11.0,156.22,Big Spenders
KH1242,16.0,17.0,125.11,Potential Loyalists
KH1243,721.0,2.0,6.0,One-time Shoppers
KH1244,400.0,8.0,39.02,Churned Customers
KH1245,26.0,20.0,168.51,Loyal Customers
KH1246,366.0,8.0,57.4,Churned Customers
KH1247,452.0,4.0,17.4,Churned Customers
KH1248,15.0,16.0,166.65,Loyal Customers
KH1249,445.0,5.0,62.8,Churned Customers
KH1250,448.0,2.0,1.3,Churned Customers
KH1251,34.0,3.0,6.6,Potential Loyalists
KH1252,261.0,10.0,104.9,Big Spenders
KH1253,193.0,6.0,51.94,Big Spenders
KH1254,255.0,5.0,115.0,Big Spenders
KH1255,460.0,2.0,26.8,One-time Shoppers
